Bioabfall;Restmüll;Gelbe Tonne;Papier
13.01.2025;07.01.2025;09.01.2025;15.01.2025
27.01.2025;20.01.2025;05.02.2025;12.02.2025
10.02.2025;03.02.2025;05.03.2025;12.03.2025
24.02.2025;17.02.2025;02.04.2025;09.04.2025
10.03.2025;03.03.2025;30.04.2025;07.05.2025
24.03.2025;17.03.2025;28.05.2025;04.06.2025
07.04.2025;31.03.2025;25.06.2025;02.07.2025
22.04.2025;12.04.2025;23.07.2025;30.07.2025
05.05.2025;28.04.2025;20.08.2025;27.08.2025
19.05.2025;12.05.2025;17.09.2025;24.09.2025
02.06.2025;26.05.2025;15.10.2025;22.10.2025
16.06.2025;10.06.2025;12.11.2025;19.11.2025
30.06.2025;23.06.2025;10.12.2025;17.12.2025
14.07.2025;07.07.2025;;
28.07.2025;21.07.2025;;
09.08.2025;04.08.2025;;
25.08.2025;18.08.2025;;
08.09.2025;01.09.2025;;
22.09.2025;15.09.2025;;
06.10.2025;27.09.2025;;
20.10.2025;13.10.2025;;
03.11.2025;27.10.2025;;
17.11.2025;10.11.2025;;
01.12.2025;24.11.2025;;
15.12.2025;08.12.2025;;
29.12.2025;20.12.2025;;
