Bioabfall;Restmüll;Gelbe Tonne;Papier
02.01.2024;09.01.2024;11.01.2024;17.01.2024
15.01.2024;22.01.2024;07.02.2024;14.02.2024
29.01.2024;05.02.2024;06.03.2024;13.03.2024
12.02.2024;19.02.2024;04.04.2024;10.04.2024
26.02.2024;04.03.2024;02.05.2024;08.05.2024
11.03.2024;18.03.2024;29.05.2024;05.06.2024
23.03.2024;02.04.2024;26.06.2024;03.07.2024
08.04.2024;15.04.2024;24.07.2024;31.07.2024
22.04.2024;29.04.2024;21.08.2024;28.08.2024
06.05.2024;13.05.2024;18.09.2024;25.09.2024
21.05.2024;27.05.2024;16.10.2024;23.10.2024
03.06.2024;10.06.2024;13.11.2024;20.11.2024
17.06.2024;24.06.2024;11.12.2024;18.12.2024
01.07.2024;08.07.2024;;
15.07.2024;22.07.2024;;
29.07.2024;05.08.2024;;
12.08.2024;19.08.2024;;
26.08.2024;02.09.2024;;
09.09.2024;16.09.2024;;
23.09.2024;30.09.2024;;
07.10.2024;14.10.2024;;
21.10.2024;26.10.2024;;
04.11.2024;11.11.2024;;
18.11.2024;25.11.2024;;
02.12.2024;09.12.2024;;
16.12.2024;21.12.2024;;
30.12.2024;;;
